Date,Close
4/5/2022,81823
4/6/2022,81820
4/7/2022,81820
4/8/2022,81817
4/11/2022,81804
4/12/2022,81801
4/13/2022,81803
4/14/2022,81800
4/19/2022,81779
4/20/2022,81775
4/21/2022,81774
4/22/2022,81770
4/25/2022,81755
4/26/2022,81752
4/27/2022,81749
4/28/2022,81750
4/29/2022,81746
5/3/2022,81720
5/4/2022,81716
5/5/2022,81715
5/6/2022,81717
5/9/2022,81696
5/10/2022,81692
5/11/2022,81688
5/12/2022,81687
5/13/2022,81688
5/16/2022,74668
5/17/2022,74665
5/18/2022,74662
5/19/2022,74661
5/20/2022,74665
5/23/2022,74649
5/24/2022,74646
5/25/2022,74643
5/26/2022,74644
5/27/2022,73644
5/30/2022,73628
5/31/2022,73630
6/1/2022,73627
6/6/2022,73500
6/7/2022,72500
6/8/2022,72498
6/9/2022,72499
6/10/2022,72500
6/13/2022,72000
6/14/2022,72000
6/15/2022,72000
6/16/2022,72013
6/17/2022,72000
6/20/2022,71986
6/21/2022,71986
6/22/2022,71985
6/23/2022,71950
6/24/2022,71955
6/27/2022,71000
6/28/2022,70000
6/29/2022,70000
6/30/2022,70017
7/1/2022,65000
7/4/2022,64984
7/5/2022,64984
7/6/2022,60000
7/7/2022,60000
7/8/2022,60000
7/11/2022,59984
7/12/2022,59984
7/13/2022,59985
7/14/2022,59996
7/15/2022,55000
7/18/2022,50000
7/19/2022,50000
7/20/2022,50000
7/21/2022,50011
7/22/2022,50017
7/25/2022,50001
7/26/2022,50001
7/27/2022,50001
7/28/2022,50012
7/29/2022,50018
8/1/2022,50003
